mphi,is_ps_ps,mchi,gchi,c_higgs,significance
30.0,False,200.0,0.06,0.0,0.0006936883176775681
30.0,False,200.0,0.18,0.0,0.007010504964572405
30.0,False,200.0,0.6,0.0,0.17510332925550448
30.0,False,200.0,1.8,0.0,9.26135466118015
30.0,False,200.0,6.0,0.0,1073.4244576470965
30.0,False,30.0,0.06,0.0,0.00021634959569229235
30.0,False,30.0,0.18,0.0,0.002251585630653083
30.0,False,30.0,0.6,0.0,0.06376537732606075
30.0,False,30.0,1.8,0.0,3.6509227437144807
30.0,False,30.0,6.0,0.0,428.6117049507937
30.0,False,50.0,0.06,0.0,0.0007542343384235993
30.0,False,50.0,0.18,0.0,0.007439241877314305
30.0,False,50.0,0.6,0.0,0.16483816148211583
30.0,False,50.0,1.8,0.0,7.988489389590177
30.0,False,50.0,6.0,0.0,910.1742910527332
7.0,True,100.0,0.06,0.0,1.2150391652932315e-06
7.0,True,100.0,0.18,0.0,9.268994122826677e-05
7.0,True,100.0,0.6,0.0,0.011373329517864956
7.0,True,100.0,1.8,0.0,0.9213236953330094
7.0,True,100.0,6.0,0.0,113.65181889869969
7.0,True,10.0,0.06,0.0,2.1922818430331703e-07
7.0,True,10.0,0.18,0.0,1.788765344148891e-05
7.0,True,10.0,0.6,0.0,0.002202212100293748
7.0,True,10.0,1.8,0.0,0.1764169893127731
7.0,True,10.0,6.0,0.0,21.865081418553682
7.0,True,200.0,0.06,0.0,3.0795420055344634e-07
7.0,True,200.0,0.18,0.0,2.3970465898283023e-05
7.0,True,200.0,0.6,0.0,0.002947590714565992
7.0,True,200.0,1.8,0.0,0.23841884501590482
7.0,True,200.0,6.0,0.0,29.460823363463682
7.0,True,30.0,0.06,0.0,3.5921017218931485e-06
7.0,True,30.0,0.18,0.0,0.0002828908897031851
7.0,True,30.0,0.6,0.0,0.034786550985715085
7.0,True,30.0,1.8,0.0,2.815917806714969
7.0,True,30.0,6.0,0.0,348.328460194909
7.0,True,50.0,0.06,0.0,3.1152017429769843e-06
7.0,True,50.0,0.18,0.0,0.0002378635497787214
7.0,True,50.0,0.6,0.0,0.029164448868777254
7.0,True,50.0,1.8,0.0,2.3602804569215676
7.0,True,50.0,6.0,0.0,291.53608788318724
